"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|MK","Without Sequence","138.12","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|MK","Without Sequence","130.12","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|MK","Without Sequence","120.00","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|MK","Without Sequence","113.10","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|MK","Without Sequence","106.10","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|MK","Without Sequence","106.10","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|MK","Without Sequence","119.11","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|MK","Without Sequence","120.00","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|MK","Without Sequence","101.38","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|MK","Without Sequence","78.07","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|MK","Without Sequence","72.58","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|MK","Without Sequence","66.72","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|MK","Without Sequence","59.54","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|MK","Without Sequence","95.23","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|MK","Without Sequence","100.00","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|MK","Without Sequence","120.00","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|MK","Without Sequence","162.97","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|MK","Without Sequence","176.89","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|MK","Without Sequence","177.33","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|MK","Without Sequence","165.38","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|MK","Without Sequence","149.68","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|MK","Without Sequence","150.00","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|MK","Without Sequence","143.26","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|MK","Without Sequence","147.00","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|MK","Without Sequence","135.35","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|MK","Without Sequence","123.02","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|MK","Without Sequence","107.00","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|MK","Without Sequence","107.00","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|MK","Without Sequence","107.00","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|MK","Without Sequence","112.90","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|MK","Without Sequence","120.00","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|MK","Without Sequence","123.22","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|MK","Without Sequence","120.00","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|MK","Without Sequence","111.51","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|MK","Without Sequence","103.34","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|MK","Without Sequence","103.00","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|MK","Without Sequence","103.00","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|MK","Without Sequence","106.99","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|MK","Without Sequence","113.38","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|MK","Without Sequence","131.23","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|MK","Without Sequence","157.27","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|MK","Without Sequence","177.07","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|MK","Without Sequence","162.54","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|MK","Without Sequence","157.74","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|MK","Without Sequence","146.64","",""
