"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/05/2023 00:00:00 - 11/05/2023 01:00:00","BZN|MK","Without Sequence","104.00","",""
"11/05/2023 01:00:00 - 11/05/2023 02:00:00","BZN|MK","Without Sequence","95.67","",""
"11/05/2023 02:00:00 - 11/05/2023 03:00:00","BZN|MK","Without Sequence","91.74","",""
"11/05/2023 03:00:00 - 11/05/2023 04:00:00","BZN|MK","Without Sequence","90.99","",""
"11/05/2023 04:00:00 - 11/05/2023 05:00:00","BZN|MK","Without Sequence","92.52","",""
"11/05/2023 05:00:00 - 11/05/2023 06:00:00","BZN|MK","Without Sequence","99.30","",""
"11/05/2023 06:00:00 - 11/05/2023 07:00:00","BZN|MK","Without Sequence","112.00","",""
"11/05/2023 07:00:00 - 11/05/2023 08:00:00","BZN|MK","Without Sequence","136.28","",""
"11/05/2023 08:00:00 - 11/05/2023 09:00:00","BZN|MK","Without Sequence","135.68","",""
"11/05/2023 09:00:00 - 11/05/2023 10:00:00","BZN|MK","Without Sequence","125.76","",""
"11/05/2023 10:00:00 - 11/05/2023 11:00:00","BZN|MK","Without Sequence","114.59","",""
"11/05/2023 11:00:00 - 11/05/2023 12:00:00","BZN|MK","Without Sequence","108.27","",""
"11/05/2023 12:00:00 - 11/05/2023 13:00:00","BZN|MK","Without Sequence","102.86","",""
"11/05/2023 13:00:00 - 11/05/2023 14:00:00","BZN|MK","Without Sequence","101.14","",""
"11/05/2023 14:00:00 - 11/05/2023 15:00:00","BZN|MK","Without Sequence","106.85","",""
"11/05/2023 15:00:00 - 11/05/2023 16:00:00","BZN|MK","Without Sequence","107.62","",""
"11/05/2023 16:00:00 - 11/05/2023 17:00:00","BZN|MK","Without Sequence","111.00","",""
"11/05/2023 17:00:00 - 11/05/2023 18:00:00","BZN|MK","Without Sequence","117.00","",""
"11/05/2023 18:00:00 - 11/05/2023 19:00:00","BZN|MK","Without Sequence","128.23","",""
"11/05/2023 19:00:00 - 11/05/2023 20:00:00","BZN|MK","Without Sequence","153.00","",""
"11/05/2023 20:00:00 - 11/05/2023 21:00:00","BZN|MK","Without Sequence","169.84","",""
"11/05/2023 21:00:00 - 11/05/2023 22:00:00","BZN|MK","Without Sequence","142.40","",""
"11/05/2023 22:00:00 - 11/05/2023 23:00:00","BZN|MK","Without Sequence","121.00","",""
"11/05/2023 23:00:00 - 12/05/2023 00:00:00","BZN|MK","Without Sequence","112.00","",""
"12/05/2023 00:00:00 - 12/05/2023 01:00:00","BZN|MK","Without Sequence","101.90","",""
"12/05/2023 01:00:00 - 12/05/2023 02:00:00","BZN|MK","Without Sequence","90.00","",""
"12/05/2023 02:00:00 - 12/05/2023 03:00:00","BZN|MK","Without Sequence","84.70","",""
"12/05/2023 03:00:00 - 12/05/2023 04:00:00","BZN|MK","Without Sequence","81.22","",""
"12/05/2023 04:00:00 - 12/05/2023 05:00:00","BZN|MK","Without Sequence","81.22","",""
"12/05/2023 05:00:00 - 12/05/2023 06:00:00","BZN|MK","Without Sequence","90.46","",""
"12/05/2023 06:00:00 - 12/05/2023 07:00:00","BZN|MK","Without Sequence","104.00","",""
"12/05/2023 07:00:00 - 12/05/2023 08:00:00","BZN|MK","Without Sequence","131.68","",""
"12/05/2023 08:00:00 - 12/05/2023 09:00:00","BZN|MK","Without Sequence","135.00","",""
"12/05/2023 09:00:00 - 12/05/2023 10:00:00","BZN|MK","Without Sequence","120.00","",""
"12/05/2023 10:00:00 - 12/05/2023 11:00:00","BZN|MK","Without Sequence","110.00","",""
