"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/05/2023 11:00:00 - 12/05/2023 12:00:00","BZN|MK","Without Sequence","100.00","",""
"12/05/2023 12:00:00 - 12/05/2023 13:00:00","BZN|MK","Without Sequence","95.00","",""
"12/05/2023 13:00:00 - 12/05/2023 14:00:00","BZN|MK","Without Sequence","78.34","",""
"12/05/2023 14:00:00 - 12/05/2023 15:00:00","BZN|MK","Without Sequence","76.02","",""
"12/05/2023 15:00:00 - 12/05/2023 16:00:00","BZN|MK","Without Sequence","81.30","",""
"12/05/2023 16:00:00 - 12/05/2023 17:00:00","BZN|MK","Without Sequence","89.80","",""
"12/05/2023 17:00:00 - 12/05/2023 18:00:00","BZN|MK","Without Sequence","100.00","",""
"12/05/2023 18:00:00 - 12/05/2023 19:00:00","BZN|MK","Without Sequence","141.49","",""
"12/05/2023 19:00:00 - 12/05/2023 20:00:00","BZN|MK","Without Sequence","165.34","",""
"12/05/2023 20:00:00 - 12/05/2023 21:00:00","BZN|MK","Without Sequence","169.91","",""
"12/05/2023 21:00:00 - 12/05/2023 22:00:00","BZN|MK","Without Sequence","135.28","",""
"12/05/2023 22:00:00 - 12/05/2023 23:00:00","BZN|MK","Without Sequence","110.00","",""
"12/05/2023 23:00:00 - 13/05/2023 00:00:00","BZN|MK","Without Sequence","100.00","",""
"13/05/2023 00:00:00 - 13/05/2023 01:00:00","BZN|MK","Without Sequence","90.46","",""
"13/05/2023 01:00:00 - 13/05/2023 02:00:00","BZN|MK","Without Sequence","86.73","",""
"13/05/2023 02:00:00 - 13/05/2023 03:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 03:00:00 - 13/05/2023 04:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 04:00:00 - 13/05/2023 05:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 05:00:00 - 13/05/2023 06:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 06:00:00 - 13/05/2023 07:00:00","BZN|MK","Without Sequence","81.00","",""
"13/05/2023 07:00:00 - 13/05/2023 08:00:00","BZN|MK","Without Sequence","83.36","",""
"13/05/2023 08:00:00 - 13/05/2023 09:00:00","BZN|MK","Without Sequence","86.00","",""
"13/05/2023 09:00:00 - 13/05/2023 10:00:00","BZN|MK","Without Sequence","88.00","",""
"13/05/2023 10:00:00 - 13/05/2023 11:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 11:00:00 - 13/05/2023 12:00:00","BZN|MK","Without Sequence","77.00","",""
"13/05/2023 12:00:00 - 13/05/2023 13:00:00","BZN|MK","Without Sequence","67.00","",""
"13/05/2023 13:00:00 - 13/05/2023 14:00:00","BZN|MK","Without Sequence","46.00","",""
"13/05/2023 14:00:00 - 13/05/2023 15:00:00","BZN|MK","Without Sequence","44.30","",""
"13/05/2023 15:00:00 - 13/05/2023 16:00:00","BZN|MK","Without Sequence","51.50","",""
"13/05/2023 16:00:00 - 13/05/2023 17:00:00","BZN|MK","Without Sequence","62.30","",""
"13/05/2023 17:00:00 - 13/05/2023 18:00:00","BZN|MK","Without Sequence","79.00","",""
"13/05/2023 18:00:00 - 13/05/2023 19:00:00","BZN|MK","Without Sequence","100.00","",""
"13/05/2023 19:00:00 - 13/05/2023 20:00:00","BZN|MK","Without Sequence","115.00","",""
"13/05/2023 20:00:00 - 13/05/2023 21:00:00","BZN|MK","Without Sequence","120.00","",""
"13/05/2023 21:00:00 - 13/05/2023 22:00:00","BZN|MK","Without Sequence","110.00","",""
"13/05/2023 22:00:00 - 13/05/2023 23:00:00","BZN|MK","Without Sequence","105.00","",""
"13/05/2023 23:00:00 - 14/05/2023 00:00:00","BZN|MK","Without Sequence","97.50","",""
"14/05/2023 00:00:00 - 14/05/2023 01:00:00","BZN|MK","Without Sequence","97.00","",""
"14/05/2023 01:00:00 - 14/05/2023 02:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 02:00:00 - 14/05/2023 03:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 03:00:00 - 14/05/2023 04:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 04:00:00 - 14/05/2023 05:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 05:00:00 - 14/05/2023 06:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 06:00:00 - 14/05/2023 07:00:00","BZN|MK","Without Sequence","79.00","",""
"14/05/2023 07:00:00 - 14/05/2023 08:00:00","BZN|MK","Without Sequence","69.00","",""
"14/05/2023 08:00:00 - 14/05/2023 09:00:00","BZN|MK","Without Sequence","67.00","",""
"14/05/2023 09:00:00 - 14/05/2023 10:00:00","BZN|MK","Without Sequence","62.00","",""
"14/05/2023 10:00:00 - 14/05/2023 11:00:00","BZN|MK","Without Sequence","60.00","",""
"14/05/2023 11:00:00 - 14/05/2023 12:00:00","BZN|MK","Without Sequence","35.00","",""
"14/05/2023 12:00:00 - 14/05/2023 13:00:00","BZN|MK","Without Sequence","32.00","",""
"14/05/2023 13:00:00 - 14/05/2023 14:00:00","BZN|MK","Without Sequence","29.00","",""
"14/05/2023 14:00:00 - 14/05/2023 15:00:00","BZN|MK","Without Sequence","21.00","",""
"14/05/2023 15:00:00 - 14/05/2023 16:00:00","BZN|MK","Without Sequence","27.00","",""
"14/05/2023 16:00:00 - 14/05/2023 17:00:00","BZN|MK","Without Sequence","59.60","",""
"14/05/2023 17:00:00 - 14/05/2023 18:00:00","BZN|MK","Without Sequence","78.70","",""
"14/05/2023 18:00:00 - 14/05/2023 19:00:00","BZN|MK","Without Sequence","97.30","",""
"14/05/2023 19:00:00 - 14/05/2023 20:00:00","BZN|MK","Without Sequence","110.70","",""
"14/05/2023 20:00:00 - 14/05/2023 21:00:00","BZN|MK","Without Sequence","114.70","",""
"14/05/2023 21:00:00 - 14/05/2023 22:00:00","BZN|MK","Without Sequence","111.90","",""
"14/05/2023 22:00:00 - 14/05/2023 23:00:00","BZN|MK","Without Sequence","109.60","",""
"14/05/2023 23:00:00 - 15/05/2023 00:00:00","BZN|MK","Without Sequence","101.90","",""
"15/05/2023 00:00:00 - 15/05/2023 01:00:00","BZN|MK","Without Sequence","103.26","",""
"15/05/2023 01:00:00 - 15/05/2023 02:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 02:00:00 - 15/05/2023 03:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 03:00:00 - 15/05/2023 04:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 04:00:00 - 15/05/2023 05:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 05:00:00 - 15/05/2023 06:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 06:00:00 - 15/05/2023 07:00:00","BZN|MK","Without Sequence","81.22","",""
"15/05/2023 07:00:00 - 15/05/2023 08:00:00","BZN|MK","Without Sequence","111.00","",""
"15/05/2023 08:00:00 - 15/05/2023 09:00:00","BZN|MK","Without Sequence","111.00","",""
"15/05/2023 09:00:00 - 15/05/2023 10:00:00","BZN|MK","Without Sequence","103.00","",""
"15/05/2023 10:00:00 - 15/05/2023 11:00:00","BZN|MK","Without Sequence","87.00","",""
"15/05/2023 11:00:00 - 15/05/2023 12:00:00","BZN|MK","Without Sequence","87.00","",""
"15/05/2023 12:00:00 - 15/05/2023 13:00:00","BZN|MK","Without Sequence","65.00","",""
"15/05/2023 13:00:00 - 15/05/2023 14:00:00","BZN|MK","Without Sequence","85.10","",""
"15/05/2023 14:00:00 - 15/05/2023 15:00:00","BZN|MK","Without Sequence","81.30","",""
"15/05/2023 15:00:00 - 15/05/2023 16:00:00","BZN|MK","Without Sequence","81.00","",""
"15/05/2023 16:00:00 - 15/05/2023 17:00:00","BZN|MK","Without Sequence","86.70","",""
"15/05/2023 17:00:00 - 15/05/2023 18:00:00","BZN|MK","Without Sequence","96.80","",""
"15/05/2023 18:00:00 - 15/05/2023 19:00:00","BZN|MK","Without Sequence","109.44","",""
"15/05/2023 19:00:00 - 15/05/2023 20:00:00","BZN|MK","Without Sequence","115.00","",""
"15/05/2023 20:00:00 - 15/05/2023 21:00:00","BZN|MK","Without Sequence","115.00","",""
"15/05/2023 21:00:00 - 15/05/2023 22:00:00","BZN|MK","Without Sequence","115.10","",""
"15/05/2023 22:00:00 - 15/05/2023 23:00:00","BZN|MK","Without Sequence","107.50","",""
"15/05/2023 23:00:00 - 16/05/2023 00:00:00","BZN|MK","Without Sequence","101.00","",""
"16/05/2023 00:00:00 - 16/05/2023 01:00:00","BZN|MK","Without Sequence","90.52","",""
"16/05/2023 01:00:00 - 16/05/2023 02:00:00","BZN|MK","Without Sequence","81.22","",""
"16/05/2023 02:00:00 - 16/05/2023 03:00:00","BZN|MK","Without Sequence","81.22","",""
"16/05/2023 03:00:00 - 16/05/2023 04:00:00","BZN|MK","Without Sequence","81.22","",""
"16/05/2023 04:00:00 - 16/05/2023 05:00:00","BZN|MK","Without Sequence","81.22","",""
"16/05/2023 05:00:00 - 16/05/2023 06:00:00","BZN|MK","Without Sequence","81.22","",""
"16/05/2023 06:00:00 - 16/05/2023 07:00:00","BZN|MK","Without Sequence","100.95","",""
"16/05/2023 07:00:00 - 16/05/2023 08:00:00","BZN|MK","Without Sequence","119.00","",""
"16/05/2023 08:00:00 - 16/05/2023 09:00:00","BZN|MK","Without Sequence","134.98","",""
"16/05/2023 09:00:00 - 16/05/2023 10:00:00","BZN|MK","Without Sequence","109.44","",""
"16/05/2023 10:00:00 - 16/05/2023 11:00:00","BZN|MK","Without Sequence","94.00","",""
"16/05/2023 11:00:00 - 16/05/2023 12:00:00","BZN|MK","Without Sequence","90.00","",""
"16/05/2023 12:00:00 - 16/05/2023 13:00:00","BZN|MK","Without Sequence","81.00","",""
"16/05/2023 13:00:00 - 16/05/2023 14:00:00","BZN|MK","Without Sequence","74.20","",""
"16/05/2023 14:00:00 - 16/05/2023 15:00:00","BZN|MK","Without Sequence","82.70","",""
"16/05/2023 15:00:00 - 16/05/2023 16:00:00","BZN|MK","Without Sequence","90.70","",""
"16/05/2023 16:00:00 - 16/05/2023 17:00:00","BZN|MK","Without Sequence","94.17","",""
"16/05/2023 17:00:00 - 16/05/2023 18:00:00","BZN|MK","Without Sequence","95.23","",""
"16/05/2023 18:00:00 - 16/05/2023 19:00:00","BZN|MK","Without Sequence","108.70","",""
"16/05/2023 19:00:00 - 16/05/2023 20:00:00","BZN|MK","Without Sequence","112.04","",""
"16/05/2023 20:00:00 - 16/05/2023 21:00:00","BZN|MK","Without Sequence","118.59","",""
"16/05/2023 21:00:00 - 16/05/2023 22:00:00","BZN|MK","Without Sequence","122.27","",""
"16/05/2023 22:00:00 - 16/05/2023 23:00:00","BZN|MK","Without Sequence","108.50","",""
"16/05/2023 23:00:00 - 17/05/2023 00:00:00","BZN|MK","Without Sequence","97.80","",""
"17/05/2023 00:00:00 - 17/05/2023 01:00:00","BZN|MK","Without Sequence","90.00","",""
"17/05/2023 01:00:00 - 17/05/2023 02:00:00","BZN|MK","Without Sequence","84.50","",""
"17/05/2023 02:00:00 - 17/05/2023 03:00:00","BZN|MK","Without Sequence","81.23","",""
"17/05/2023 03:00:00 - 17/05/2023 04:00:00","BZN|MK","Without Sequence","81.23","",""
"17/05/2023 04:00:00 - 17/05/2023 05:00:00","BZN|MK","Without Sequence","81.23","",""
"17/05/2023 05:00:00 - 17/05/2023 06:00:00","BZN|MK","Without Sequence","92.00","",""
"17/05/2023 06:00:00 - 17/05/2023 07:00:00","BZN|MK","Without Sequence","111.00","",""
"17/05/2023 07:00:00 - 17/05/2023 08:00:00","BZN|MK","Without Sequence","130.10","",""
"17/05/2023 08:00:00 - 17/05/2023 09:00:00","BZN|MK","Without Sequence","109.45","",""
"17/05/2023 09:00:00 - 17/05/2023 10:00:00","BZN|MK","Without Sequence","99.10","",""
"17/05/2023 10:00:00 - 17/05/2023 11:00:00","BZN|MK","Without Sequence","69.33","",""
"17/05/2023 11:00:00 - 17/05/2023 12:00:00","BZN|MK","Without Sequence","62.47","",""
"17/05/2023 12:00:00 - 17/05/2023 13:00:00","BZN|MK","Without Sequence","56.88","",""
"17/05/2023 13:00:00 - 17/05/2023 14:00:00","BZN|MK","Without Sequence","56.00","",""
"17/05/2023 14:00:00 - 17/05/2023 15:00:00","BZN|MK","Without Sequence","60.00","",""
"17/05/2023 15:00:00 - 17/05/2023 16:00:00","BZN|MK","Without Sequence","84.00","",""
"17/05/2023 16:00:00 - 17/05/2023 17:00:00","BZN|MK","Without Sequence","88.01","",""
"17/05/2023 17:00:00 - 17/05/2023 18:00:00","BZN|MK","Without Sequence","97.58","",""
"17/05/2023 18:00:00 - 17/05/2023 19:00:00","BZN|MK","Without Sequence","119.00","",""
"17/05/2023 19:00:00 - 17/05/2023 20:00:00","BZN|MK","Without Sequence","130.10","",""
"17/05/2023 20:00:00 - 17/05/2023 21:00:00","BZN|MK","Without Sequence","140.02","",""
"17/05/2023 21:00:00 - 17/05/2023 22:00:00","BZN|MK","Without Sequence","127.02","",""
"17/05/2023 22:00:00 - 17/05/2023 23:00:00","BZN|MK","Without Sequence","115.00","",""
"17/05/2023 23:00:00 - 18/05/2023 00:00:00","BZN|MK","Without Sequence","104.00","",""
"18/05/2023 00:00:00 - 18/05/2023 01:00:00","BZN|MK","Without Sequence","103.89","",""
"18/05/2023 01:00:00 - 18/05/2023 02:00:00","BZN|MK","Without Sequence","89.21","",""
"18/05/2023 02:00:00 - 18/05/2023 03:00:00","BZN|MK","Without Sequence","83.01","",""
"18/05/2023 03:00:00 - 18/05/2023 04:00:00","BZN|MK","Without Sequence","79.36","",""
"18/05/2023 04:00:00 - 18/05/2023 05:00:00","BZN|MK","Without Sequence","81.01","",""
"18/05/2023 05:00:00 - 18/05/2023 06:00:00","BZN|MK","Without Sequence","82.61","",""
"18/05/2023 06:00:00 - 18/05/2023 07:00:00","BZN|MK","Without Sequence","95.99","",""
"18/05/2023 07:00:00 - 18/05/2023 08:00:00","BZN|MK","Without Sequence","115.59","",""
"18/05/2023 08:00:00 - 18/05/2023 09:00:00","BZN|MK","Without Sequence","102.01","",""
"18/05/2023 09:00:00 - 18/05/2023 10:00:00","BZN|MK","Without Sequence","102.01","",""
"18/05/2023 10:00:00 - 18/05/2023 11:00:00","BZN|MK","Without Sequence","82.01","",""
"18/05/2023 11:00:00 - 18/05/2023 12:00:00","BZN|MK","Without Sequence","73.01","",""
"18/05/2023 12:00:00 - 18/05/2023 13:00:00","BZN|MK","Without Sequence","73.01","",""
"18/05/2023 13:00:00 - 18/05/2023 14:00:00","BZN|MK","Without Sequence","74.01","",""
"18/05/2023 14:00:00 - 18/05/2023 15:00:00","BZN|MK","Without Sequence","69.85","",""
"18/05/2023 15:00:00 - 18/05/2023 16:00:00","BZN|MK","Without Sequence","73.19","",""
"18/05/2023 16:00:00 - 18/05/2023 17:00:00","BZN|MK","Without Sequence","74.01","",""
"18/05/2023 17:00:00 - 18/05/2023 18:00:00","BZN|MK","Without Sequence","84.01","",""
"18/05/2023 18:00:00 - 18/05/2023 19:00:00","BZN|MK","Without Sequence","120.46","",""
"18/05/2023 19:00:00 - 18/05/2023 20:00:00","BZN|MK","Without Sequence","127.74","",""
"18/05/2023 20:00:00 - 18/05/2023 21:00:00","BZN|MK","Without Sequence","146.03","",""
"18/05/2023 21:00:00 - 18/05/2023 22:00:00","BZN|MK","Without Sequence","120.01","",""
"18/05/2023 22:00:00 - 18/05/2023 23:00:00","BZN|MK","Without Sequence","116.19","",""
"18/05/2023 23:00:00 - 19/05/2023 00:00:00","BZN|MK","Without Sequence","113.92","",""
"19/05/2023 00:00:00 - 19/05/2023 01:00:00","BZN|MK","Without Sequence","86.99","",""
"19/05/2023 01:00:00 - 19/05/2023 02:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 02:00:00 - 19/05/2023 03:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 03:00:00 - 19/05/2023 04:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 04:00:00 - 19/05/2023 05:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 05:00:00 - 19/05/2023 06:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 06:00:00 - 19/05/2023 07:00:00","BZN|MK","Without Sequence","100.01","",""
"19/05/2023 07:00:00 - 19/05/2023 08:00:00","BZN|MK","Without Sequence","126.99","",""
"19/05/2023 08:00:00 - 19/05/2023 09:00:00","BZN|MK","Without Sequence","92.99","",""
"19/05/2023 09:00:00 - 19/05/2023 10:00:00","BZN|MK","Without Sequence","81.02","",""
"19/05/2023 10:00:00 - 19/05/2023 11:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 11:00:00 - 19/05/2023 12:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 12:00:00 - 19/05/2023 13:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 13:00:00 - 19/05/2023 14:00:00","BZN|MK","Without Sequence","71.99","",""
"19/05/2023 14:00:00 - 19/05/2023 15:00:00","BZN|MK","Without Sequence","68.30","",""
"19/05/2023 15:00:00 - 19/05/2023 16:00:00","BZN|MK","Without Sequence","69.01","",""
"19/05/2023 16:00:00 - 19/05/2023 17:00:00","BZN|MK","Without Sequence","73.99","",""
"19/05/2023 17:00:00 - 19/05/2023 18:00:00","BZN|MK","Without Sequence","91.79","",""
"19/05/2023 18:00:00 - 19/05/2023 19:00:00","BZN|MK","Without Sequence","147.44","",""
"19/05/2023 19:00:00 - 19/05/2023 20:00:00","BZN|MK","Without Sequence","160.34","",""
"19/05/2023 20:00:00 - 19/05/2023 21:00:00","BZN|MK","Without Sequence","179.85","",""
"19/05/2023 21:00:00 - 19/05/2023 22:00:00","BZN|MK","Without Sequence","149.02","",""
"19/05/2023 22:00:00 - 19/05/2023 23:00:00","BZN|MK","Without Sequence","122.99","",""
"19/05/2023 23:00:00 - 20/05/2023 00:00:00","BZN|MK","Without Sequence","113.99","",""
"20/05/2023 00:00:00 - 20/05/2023 01:00:00","BZN|MK","Without Sequence","91.07","",""
"20/05/2023 01:00:00 - 20/05/2023 02:00:00","BZN|MK","Without Sequence","74.00","",""
"20/05/2023 02:00:00 - 20/05/2023 03:00:00","BZN|MK","Without Sequence","74.00","",""
"20/05/2023 03:00:00 - 20/05/2023 04:00:00","BZN|MK","Without Sequence","74.00","",""
"20/05/2023 04:00:00 - 20/05/2023 05:00:00","BZN|MK","Without Sequence","72.00","",""
"20/05/2023 05:00:00 - 20/05/2023 06:00:00","BZN|MK","Without Sequence","74.00","",""
"20/05/2023 06:00:00 - 20/05/2023 07:00:00","BZN|MK","Without Sequence","80.00","",""
"20/05/2023 07:00:00 - 20/05/2023 08:00:00","BZN|MK","Without Sequence","80.00","",""
"20/05/2023 08:00:00 - 20/05/2023 09:00:00","BZN|MK","Without Sequence","80.00","",""
"20/05/2023 09:00:00 - 20/05/2023 10:00:00","BZN|MK","Without Sequence","67.00","",""
"20/05/2023 10:00:00 - 20/05/2023 11:00:00","BZN|MK","Without Sequence","24.00","",""
"20/05/2023 11:00:00 - 20/05/2023 12:00:00","BZN|MK","Without Sequence","10.00","",""
"20/05/2023 12:00:00 - 20/05/2023 13:00:00","BZN|MK","Without Sequence","9.00","",""
"20/05/2023 13:00:00 - 20/05/2023 14:00:00","BZN|MK","Without Sequence","2.00","",""
"20/05/2023 14:00:00 - 20/05/2023 15:00:00","BZN|MK","Without Sequence","22.80","",""
"20/05/2023 15:00:00 - 20/05/2023 16:00:00","BZN|MK","Without Sequence","24.30","",""
"20/05/2023 16:00:00 - 20/05/2023 17:00:00","BZN|MK","Without Sequence","30.08","",""
"20/05/2023 17:00:00 - 20/05/2023 18:00:00","BZN|MK","Without Sequence","74.00","",""
"20/05/2023 18:00:00 - 20/05/2023 19:00:00","BZN|MK","Without Sequence","77.00","",""
"20/05/2023 19:00:00 - 20/05/2023 20:00:00","BZN|MK","Without Sequence","100.00","",""
"20/05/2023 20:00:00 - 20/05/2023 21:00:00","BZN|MK","Without Sequence","100.00","",""
"20/05/2023 21:00:00 - 20/05/2023 22:00:00","BZN|MK","Without Sequence","100.00","",""
"20/05/2023 22:00:00 - 20/05/2023 23:00:00","BZN|MK","Without Sequence","94.00","",""
"20/05/2023 23:00:00 - 21/05/2023 00:00:00","BZN|MK","Without Sequence","80.00","",""
"21/05/2023 00:00:00 - 21/05/2023 01:00:00","BZN|MK","Without Sequence","58.59","",""
"21/05/2023 01:00:00 - 21/05/2023 02:00:00","BZN|MK","Without Sequence","54.99","",""
"21/05/2023 02:00:00 - 21/05/2023 03:00:00","BZN|MK","Without Sequence","48.49","",""
"21/05/2023 03:00:00 - 21/05/2023 04:00:00","BZN|MK","Without Sequence","46.18","",""
"21/05/2023 04:00:00 - 21/05/2023 05:00:00","BZN|MK","Without Sequence","45.51","",""
"21/05/2023 05:00:00 - 21/05/2023 06:00:00","BZN|MK","Without Sequence","45.18","",""
"21/05/2023 06:00:00 - 21/05/2023 07:00:00","BZN|MK","Without Sequence","40.37","",""
"21/05/2023 07:00:00 - 21/05/2023 08:00:00","BZN|MK","Without Sequence","29.00","",""
"21/05/2023 08:00:00 - 21/05/2023 09:00:00","BZN|MK","Without Sequence","24.00","",""
"21/05/2023 09:00:00 - 21/05/2023 10:00:00","BZN|MK","Without Sequence","3.48","",""
"21/05/2023 10:00:00 - 21/05/2023 11:00:00","BZN|MK","Without Sequence","1.02","",""
"21/05/2023 11:00:00 - 21/05/2023 12:00:00","BZN|MK","Without Sequence","1.02","",""
"21/05/2023 12:00:00 - 21/05/2023 13:00:00","BZN|MK","Without Sequence","1.02","",""
"21/05/2023 13:00:00 - 21/05/2023 14:00:00","BZN|MK","Without Sequence","8.98","",""
"21/05/2023 14:00:00 - 21/05/2023 15:00:00","BZN|MK","Without Sequence","8.99","",""
"21/05/2023 15:00:00 - 21/05/2023 16:00:00","BZN|MK","Without Sequence","9.05","",""
"21/05/2023 16:00:00 - 21/05/2023 17:00:00","BZN|MK","Without Sequence","3.00","",""
"21/05/2023 17:00:00 - 21/05/2023 18:00:00","BZN|MK","Without Sequence","17.49","",""
"21/05/2023 18:00:00 - 21/05/2023 19:00:00","BZN|MK","Without Sequence","52.82","",""
"21/05/2023 19:00:00 - 21/05/2023 20:00:00","BZN|MK","Without Sequence","77.00","",""
"21/05/2023 20:00:00 - 21/05/2023 21:00:00","BZN|MK","Without Sequence","79.58","",""
"21/05/2023 21:00:00 - 21/05/2023 22:00:00","BZN|MK","Without Sequence","82.77","",""
"21/05/2023 22:00:00 - 21/05/2023 23:00:00","BZN|MK","Without Sequence","76.54","",""
"21/05/2023 23:00:00 - 22/05/2023 00:00:00","BZN|MK","Without Sequence","72.53","",""
"22/05/2023 00:00:00 - 22/05/2023 01:00:00","BZN|MK","Without Sequence","69.00","",""
"22/05/2023 01:00:00 - 22/05/2023 02:00:00","BZN|MK","Without Sequence","63.00","",""
"22/05/2023 02:00:00 - 22/05/2023 03:00:00","BZN|MK","Without Sequence","54.00","",""
"22/05/2023 03:00:00 - 22/05/2023 04:00:00","BZN|MK","Without Sequence","54.00","",""
"22/05/2023 04:00:00 - 22/05/2023 05:00:00","BZN|MK","Without Sequence","57.00","",""
"22/05/2023 05:00:00 - 22/05/2023 06:00:00","BZN|MK","Without Sequence","73.70","",""
"22/05/2023 06:00:00 - 22/05/2023 07:00:00","BZN|MK","Without Sequence","90.00","",""
"22/05/2023 07:00:00 - 22/05/2023 08:00:00","BZN|MK","Without Sequence","92.00","",""
"22/05/2023 08:00:00 - 22/05/2023 09:00:00","BZN|MK","Without Sequence","92.00","",""
"22/05/2023 09:00:00 - 22/05/2023 10:00:00","BZN|MK","Without Sequence","77.98","",""
"22/05/2023 10:00:00 - 22/05/2023 11:00:00","BZN|MK","Without Sequence","58.54","",""
"22/05/2023 11:00:00 - 22/05/2023 12:00:00","BZN|MK","Without Sequence","58.54","",""
"22/05/2023 12:00:00 - 22/05/2023 13:00:00","BZN|MK","Without Sequence","58.54","",""
